"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: blockTypeStr"
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:IPC","thrpt",4,1,0.824175,NaN,"insns/clk",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:branch-misses","thrpt",4,1,23.437629,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:branches","thrpt",4,1,71044.233500,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:cycles","thrpt",4,1,723650.563810,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:instructions","thrpt",4,1,596414.591374,NaN,"#/op",COMPLEX_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp","thrpt",4,5,713.918155,1.758996,"ops/s",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:CPI","thrpt",4,1,0.981462,NaN,"clks/insn",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:IPC","thrpt",4,1,1.018888,NaN,"insns/clk",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:branch-misses","thrpt",4,1,23701.749847,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:branches","thrpt",4,1,665760.312804,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:cycles","thrpt",4,1,4408302.372924,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectIfCmp:instructions","thrpt",4,1,4491567.668288,NaN,"#/op",MULTILAYER_BLOCK
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO","thrpt",4,5,3394.042015,18.566351,"ops/s",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO:CPI","thrpt",4,1,1.066495,NaN,"clks/insn",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO:IPC","thrpt",4,1,0.937651,NaN,"insns/clk",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO:branch-misses","thrpt",4,1,953.700260,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO:branches","thrpt",4,1,126377.945100,NaN,"#/op",RANDOM
"GeoDriverBenchParams.checkNearestNSWEBytesDirectInlO:cycles","thrpt",4,1,923237.496438,NaN,"#/op",RANDOM
